Mile,Shelter,State,Elevation
1157.6,Peters Mountain Shelter,PA,1190
1175.6,Rausch Gap Shelter,PA,1090
1189,William Penn Shelter,PA,1420
1193.1,501 Shelter,PA,1470
1208.2,Eagles Nest Shelter,PA,1590
1222.9,Windsor Furnace Shelter,PA,867
1232,Eckville Shelter,PA,697
1239.4,Allentown Hiking Club Shelter,PA,1500
1249.4,Bake Oven Knob Shelter,PA,1400
1256.2,George W. Outerbridge Shelter,PA,999
1272.9,Leroy A. Smith Shelter,PA,1480
1286.6,Kirkridge Shelter,PA,1470
1298.3,Backpacker Camp #2,NJ,1290
1317.8,Brink Road Shelter,NJ,1230
1324.4,Gren Anderson Shelter,NJ,1340
1330.2,Mashipacong Shelter,NJ,1430
1332.8,Rutherford Shelter,NJ,1490
1337.4,High Point Shelter,NJ,1310
1349.8,Pochuck Mountain Shelter,NJ,866
1361.3,Wawayanda Shelter,NJ,1190
1373.4,Wildcat Shelter,NY,1070
1387.7,Fingerboard Shelter,NY,1350
1393,William Brien Memorial Shelter,NY,1060
1396.2,West Mountain Shelter,NY,1180
1428.4,RPH Shelter,NY,377
1437.4,Morgan Stewart Memorial Shelter,NY,1310
1445.2,Telephone Pioneers Shelter,NY,1060
1454,Wiley Shelter,NY,724
1458,Ten Mile River Shelter,CT,300
1466.4,Mt. Algo Shelter,CT,636
1473.7,Stewart Hollow Brook Shelter,CT,415
1483.7,Pine Swamp Brook Shelter,CT,1110
1495.1,Limestone Spring Shelter,CT,1320
1502.6,Riga Shelter,CT,1660
1503.8,Brassie Brook Shelter,CT,1750
1512.6,The Hemlocks Shelter,MA,1940
1512.7,Glen Brook Shelter,MA,1960
1527,Tom Leonard Shelter,MA,1570
1532.3,Mt. Wilcox South Shelters,MA,1840
1534.1,Mt. Wilcox North Shelter,MA,2080
1548.1,Upper Goose Pond Cabin,MA,1570
1556.9,October Mountain Shelter,MA,1920
1565.7,Kay Wood Shelter,MA,1780
1582.6,Mark Noepel Shelter,MA,2840
1589.2,Wilbur Clearing Shelter,MA,2300
1599.1,Seth Warner Shelter,VT,2240
1606.3,Congdon Shelter,VT,2100
1612.2,Melville Nauheim Shelter,VT,2440
1620.7,Goddard Shelter,VT,3570
1625,Kid Gore Shelter,VT,2800
1629.6,Story Spring Shelter,VT,2810
1640,Stratton Pond Shelter,VT,2660
1644.9,William B Douglas Shelter,VT,2300
1647.9,Spruce Peak Shelter,VT,2250
1652.7,Bromley Shelter,VT,2610
1660.8,Peru Peak Shelter,VT,2620
1665.5,Lost Pond Shelter,VT,2210
1667,Old Job Shelter,VT,1540
1667.2,Big Branch Shelter,VT,1510
1670.5,Little Rock Pond Shelter,VT,1850
1675.3,Greenwall Shelter,VT,2110
1680.4,Minerva Hinchey Shelter,VT,1630
1684.1,Clarendon Shelter,VT,1260
1690.2,Governor Clement Shelter,VT,1920
1694.5,Cooper Lodge Shelter,VT,3930
1697,Pico Camp Shelter,VT,3480
1698.9,Churchill Scott Shelter,VT,2620
1707.8,Tucker Johnson Camping Area,VT,2260
1703.9,Gifford Woods State Park,VT,1660
1710.8,Stony Brook Shelter,VT,1780
1720.7,Wintturi Shelter,VT,2080
1730.5,Cloudland Market Shelter,VT,1370
1732.3,Thistle Hill Shelter,VT,1770
1741.1,Happy Hill Shelter,VT,1430
1748.4,Velvet Rocks Shelter,NH,925
1757.9,Moose Mountain Shelter,NH,2130
1763.6,Trapper John Shelter,NH,1520
1770.3,Smarts Mountain Cabin,NH,3240
1775.6,Hexacuba Shelter,NH,2070
1791.3,Jeffers Brook Shelter,NH,1330
1798.2,Beaver Brook Shelter,NH,3750
1807.2,Eliza Brook Campsite Shelter,NH,2410
1811.2,Kinsman Pond Campsite Shelter,NH,3760
1813,Lonesome Lake Hut,NH,2760
1822.4,Greenleaf Hut,NH,5290
1826.3,Garfield Ridge Campsite & Shelter,NH,3950
1829,Galehead Hut,NH,3800
1831.8,Guyot Campsite Shelter,NH,4530
1835.9,Zealand Falls Hut,NH,2640
1840.8,Ethan Pond Campsite Shelter,NH,2870
1850.1,Mizpah Spring Hut,NH,3800
1854.7,Lake of the Clouds Hut,NH,5110
1860.5,The RMS Perch Shelter,NH,5220
1861.9,Madison Spring Hut,NH,4800
1865,Osgood Tent Site,NH,2550
1875.6,Carter Notch Hut,NH,3890
1882.8,Imp Campsite Shelter,NH,3340
1888.9,Rattle River Shelter,NH,1280
1902.6,Gentian Pond Shelter & Campsite,NH,2180
1907.8,Carlo Col Shelter & Campsite,ME,3210
1912.2,Full Goose Shelter,ME,2970
